month,kwh
01/10/2022,23066941.7
01/11/2022,16109174.6
01/12/2022,29090471
01/01/2023,26625470
01/02/2023,27227145.1
01/03/2023,32031470.1
01/04/2023,28377568.8
01/05/2023,29369318
01/06/2023,39441966.9
01/07/2023,27917458
01/08/2023,27814126
01/09/2023,25146402.8
01/10/2023,31840224.4
01/11/2023,31819621.2
01/12/2023,32369779.2
01/01/2024,33102272.9
01/02/2024,25545057.2
01/03/2024,31339351.9
01/04/2024,31723857.1
01/05/2024,31490874.9
01/06/2024,25887516.8
01/07/2024,27397879.8
01/08/2024,26466852.3
01/09/2024,29987350.9
01/10/2024,27188797.4
01/11/2024,29240299.7
01/12/2024,0
01/01/2025,33741914.2
01/02/2025,31474012.2
01/03/2025,33582482.7
01/04/2025,31376481.3
01/05/2025,36452801.9
